ID,Date,Island,Treatment,Species,TL_cm,AgeFinal
E1,10/04/2019,Europa,Rats,Stegastes fasciolatus,8.2,2
E2,10/04/2019,Europa,Rats,Stegastes fasciolatus,9.6,2
E3,10/04/2019,Europa,Rats,Stegastes fasciolatus,8.8,2
E4,10/04/2019,Europa,Rats,Stegastes fasciolatus,8.9,2
E5,10/04/2019,Europa,Rats,Stegastes fasciolatus,8.9,3
E6,10/04/2019,Europa,Rats,Stegastes fasciolatus,9.2,3
E7,10/04/2019,Europa,Rats,Stegastes fasciolatus,10.2,2
E8,10/04/2019,Europa,Rats,Stegastes fasciolatus,8.4,2
E9,10/04/2019,Europa,Rats,Stegastes fasciolatus,9,2
E10,10/04/2019,Europa,Rats,Stegastes fasciolatus,10.8,6
E11,11/04/2019,Europa,Rats,Stegastes fasciolatus,8.7,2
E12,11/04/2019,Europa,Rats,Stegastes fasciolatus,10,4
E13,11/04/2019,Europa,Rats,Stegastes fasciolatus,9.4,2
E14,11/04/2019,Europa,Rats,Stegastes fasciolatus,9.5,3
E15,11/04/2019,Europa,Rats,Stegastes fasciolatus,7.7,2
E16,11/04/2019,Europa,Rats,Stegastes fasciolatus,9.5,3
E17,11/04/2019,Europa,Rats,Stegastes fasciolatus,9.2,3
E18,11/04/2019,Europa,Rats,Stegastes fasciolatus,9.7,2
E19,11/04/2019,Europa,Rats,Stegastes fasciolatus,9.9,2
E20,11/04/2019,Europa,Rats,Stegastes fasciolatus,10,4
E21,11/04/2019,Europa,Rats,Stegastes fasciolatus,9.5,2
E22,11/04/2019,Europa,Rats,Stegastes fasciolatus,9.3,5
E23,11/04/2019,Europa,Rats,Stegastes fasciolatus,9.1,3
E24,11/04/2019,Europa,Rats,Stegastes fasciolatus,10.3,3
E25,11/04/2019,Europa,Rats,Stegastes fasciolatus,9.3,2
E26,11/04/2019,Europa,Rats,Stegastes fasciolatus,9.6,2
E27,11/04/2019,Europa,Rats,Stegastes fasciolatus,9.2,2
E28,11/04/2019,Europa,Rats,Stegastes fasciolatus,9.8,4
J01,13/04/2019,Juan de Nova,Rats,Stegastes fasciolatus,10.2,4
J02,13/04/2019,Juan de Nova,Rats,Stegastes fasciolatus,10.9,6
J03,13/04/2019,Juan de Nova,Rats,Stegastes fasciolatus,9.3,2
J04,13/04/2019,Juan de Nova,Rats,Stegastes fasciolatus,10.6,8
J05,13/04/2019,Juan de Nova,Rats,Plectroglyphidodon lacrymatus,9.5,2
J06,13/04/2019,Juan de Nova,Rats,Stegastes fasciolatus,9.2,2
J07,13/04/2019,Juan de Nova,Rats,Stegastes fasciolatus,9.4,2
J08,13/04/2019,Juan de Nova,Rats,Stegastes fasciolatus,9.5,2
J09,13/04/2019,Juan de Nova,Rats,Stegastes fasciolatus,11.2,11
J10,13/04/2019,Juan de Nova,Rats,Stegastes fasciolatus,10.3,3
J11,13/04/2019,Juan de Nova,Rats,Stegastes fasciolatus,9,2
J12,15/04/2019,Juan de Nova,Rats,Stegastes fasciolatus,8,2
J13,15/04/2019,Juan de Nova,Rats,Stegastes fasciolatus,9.2,5
J14,15/04/2019,Juan de Nova,Rats,Stegastes fasciolatus,8.4,3
J15,15/04/2019,Juan de Nova,Rats,Stegastes fasciolatus,10.2,3
J16,15/04/2019,Juan de Nova,Rats,Stegastes fasciolatus,8.3,2
J17,15/04/2019,Juan de Nova,Rats,Stegastes fasciolatus,9.6,2
J18,15/04/2019,Juan de Nova,Rats,Stegastes fasciolatus,9.7,6
J19,15/04/2019,Juan de Nova,Rats,Stegastes fasciolatus,8.8,2
J20,15/04/2019,Juan de Nova,Rats,Stegastes fasciolatus,8.7,2
J21,15/04/2019,Juan de Nova,Rats,Stegastes fasciolatus,8,2
J22,16/04/2019,Juan de Nova,Rats,Stegastes fasciolatus,7.6,2
J23,16/04/2019,Juan de Nova,Rats,Stegastes fasciolatus,7.7,2
J24,16/04/2019,Juan de Nova,Rats,Stegastes fasciolatus,7.5,2
J25,16/04/2019,Juan de Nova,Rats,Stegastes fasciolatus,8.4,2
J26,16/04/2019,Juan de Nova,Rats,Stegastes fasciolatus,7.5,1
J27,16/04/2019,Juan de Nova,Rats,Stegastes fasciolatus,7.3,2
J28,16/04/2019,Juan de Nova,Rats,Stegastes fasciolatus,8.5,3
J29,16/04/2019,Juan de Nova,Rats,Stegastes fasciolatus,8.5,3
J30,16/04/2019,Juan de Nova,Rats,Stegastes fasciolatus,9,6
J31,16/04/2019,Juan de Nova,Rats,Stegastes fasciolatus,8.9,3
J32,16/04/2019,Juan de Nova,Rats,Stegastes fasciolatus,7.1,1
J33,16/04/2019,Juan de Nova,Rats,Stegastes fasciolatus,7.6,2
J34,16/04/2019,Juan de Nova,Rats,Stegastes fasciolatus,7.5,1
J35,16/04/2019,Juan de Nova,Rats,Stegastes fasciolatus,8.4,4
J36,16/04/2019,Juan de Nova,Rats,Plectroglyphidodon lacrymatus,8.8,3
J37,16/04/2019,Juan de Nova,Rats,Plectroglyphidodon lacrymatus,8.5,2
G01,20/04/2019,Grande Glorieuse,Rats,Stegastes fasciolatus,10.2,3
G02,20/04/2019,Grande Glorieuse,Rats,Stegastes fasciolatus,11.1,8
G03,20/04/2019,Grande Glorieuse,Rats,Stegastes fasciolatus,10.9,8
G04,20/04/2019,Grande Glorieuse,Rats,Stegastes fasciolatus,10.5,9
G05,20/04/2019,Grande Glorieuse,Rats,Stegastes fasciolatus,7.4,1
G12,21/04/2019,Grande Glorieuse,Rats,Stegastes fasciolatus,11.3,11
G13,21/04/2019,Grande Glorieuse,Rats,Stegastes fasciolatus,11,3
G14,21/04/2019,Grande Glorieuse,Rats,Stegastes fasciolatus,11,10
G15,21/04/2019,Grande Glorieuse,Rats,Stegastes fasciolatus,10.4,6
G16,21/04/2019,Grande Glorieuse,Rats,Stegastes fasciolatus,11.5,7
G17,21/04/2019,Grande Glorieuse,Rats,Stegastes fasciolatus,9.9,7
G18,21/04/2019,Grande Glorieuse,Rats,Stegastes fasciolatus,10.7,5
G19,21/04/2019,Grande Glorieuse,Rats,Stegastes fasciolatus,6.7,1
G20,22/04/2019,Grande Glorieuse,Rats,Stegastes fasciolatus,11,8
G21,22/04/2019,Grande Glorieuse,Rats,Stegastes fasciolatus,10.2,3
G22,22/04/2019,Grande Glorieuse,Rats,Stegastes fasciolatus,11.7,12
G23,22/04/2019,Grande Glorieuse,Rats,Stegastes fasciolatus,10.1,3
G24,22/04/2019,Grande Glorieuse,Rats,Stegastes fasciolatus,10.5,11
G25,22/04/2019,Grande Glorieuse,Rats,Stegastes fasciolatus,11.1,8
G26,22/04/2019,Grande Glorieuse,Rats,Stegastes fasciolatus,11.1,15
G27,22/04/2019,Grande Glorieuse,Rats,Stegastes fasciolatus,10.9,11
G28,22/04/2019,Grande Glorieuse,Rats,Stegastes fasciolatus,10.8,4
G29,22/04/2019,Grande Glorieuse,Rats,Stegastes fasciolatus,8.6,2
G30,22/04/2019,Grande Glorieuse,Rats,Stegastes fasciolatus,10.1,6
G31,22/04/2019,Grande Glorieuse,Rats,Stegastes fasciolatus,9.5,3
G40,23/04/2019,Ile du Lys,De_rat,Stegastes fasciolatus,10.2,6
G41,23/04/2019,Ile du Lys,De_rat,Plectroglyphidodon lacrymatus,9,4
G42,23/04/2019,Ile du Lys,De_rat,Plectroglyphidodon lacrymatus,9,3
G43,23/04/2019,Ile du Lys,De_rat,Plectroglyphidodon lacrymatus,8.7,4
G44,23/04/2019,Ile du Lys,De_rat,Plectroglyphidodon lacrymatus,7.1,2
G45,23/04/2019,Ile du Lys,De_rat,Plectroglyphidodon lacrymatus,8.6,2
G46,23/04/2019,Ile du Lys,De_rat,Plectroglyphidodon lacrymatus,8.9,5
G47,23/04/2019,Ile du Lys,De_rat,Plectroglyphidodon lacrymatus,8,2
G48,23/04/2019,Ile du Lys,De_rat,Plectroglyphidodon lacrymatus,8.5,3
G49,23/04/2019,Ile du Lys,De_rat,Plectroglyphidodon lacrymatus,8.5,3
G50,23/04/2019,Ile du Lys,De_rat,Plectroglyphidodon lacrymatus,8.2,2
T01,26/04/2019,Tromelin,De_rat,Stegastes fasciolatus,8.9,2
T02,26/04/2019,Tromelin,De_rat,Stegastes fasciolatus,9.3,4
T03,26/04/2019,Tromelin,De_rat,Stegastes fasciolatus,9.5,2
T04,26/04/2019,Tromelin,De_rat,Stegastes fasciolatus,9,2
T05,26/04/2019,Tromelin,De_rat,Stegastes fasciolatus,9.5,3
T06,26/04/2019,Tromelin,De_rat,Stegastes fasciolatus,10.1,3
T07,26/04/2019,Tromelin,De_rat,Stegastes fasciolatus,9.7,3
