Region,Island,rat_status,sum_N_year_g_ha
Chagos Archipelago,Eagle Island,infested,207.47118
Chagos Archipelago,Grande Ile Coquillage,absent,311439.7346
Chagos Archipelago,Grande Ile Mapou,infested,1915.91143
Chagos Archipelago,Ile Anglaise_PB,infested,1154.02342
Chagos Archipelago,Ile Anglaise_SAL,infested,206.67775
Chagos Archipelago,Ile de la Passe,absent,9576.94096
Chagos Archipelago,Ile Fouquet,infested,1582.08762
Chagos Archipelago,Ile Jacobin,eradicated,1207.80033
Chagos Archipelago,Ile Longue,absent,356497.4446
Chagos Archipelago,Ile Poule,infested,39.87243
Chagos Archipelago,Ile Sepulture,infested,1205.18416
Chagos Archipelago,Ile Vache Marine,eradicated,1179.56226
Chagos Archipelago,Middle Brother,absent,664752.6629
Chagos Archipelago,Nelson's Island,absent,171027.2075
Chagos Archipelago,South Brother,absent,264147.7584
Scattered Islands,Europa,infested,77046.45506
Scattered Islands,Grand Glorieuses,infested,0
Scattered Islands,Juan de nova,infested,466561.3931
Scattered Islands,Lys,eradicated,1083961.844
Scattered Islands,Tromelin,eradicated,83891.50611
