Year,Region,Island,Sample_type,Species,N15,Treatment,Treatment_b,Distance_to_shore,Island_area_hectares
2015,Chagos,Eagle,Fish,Plectroglyphidodon lacrymatus,10.55,rats,rats,280,244
2015,Chagos,Eagle,Fish,Plectroglyphidodon lacrymatus,10.4,rats,rats,280,244
2015,Chagos,Eagle,Fish,Plectroglyphidodon lacrymatus,10.76,rats,rats,280,244
2015,Chagos,Eagle,Fish,Plectroglyphidodon lacrymatus,10.94,rats,rats,280,244
2015,Chagos,Eagle,Fish,Plectroglyphidodon lacrymatus,10.9,rats,rats,280,244
2015,Chagos,Eagle,Fish,Plectroglyphidodon lacrymatus,10.79,rats,rats,280,244
2015,Chagos,Eagle,Fish,Plectroglyphidodon lacrymatus,11.09,rats,rats,280,244
2015,Chagos,Eagle,Fish,Plectroglyphidodon lacrymatus,10.8,rats,rats,280,244
2015,Chagos,Eagle,Fish,Plectroglyphidodon lacrymatus,10.51,rats,rats,280,244
2015,Chagos,Eagle,Fish,Plectroglyphidodon lacrymatus,10.31,rats,rats,280,244
2015,Chagos,Eagle,Leaves,Scaevola taccada,-3.48,rats,rats,NA,244
2015,Chagos,Eagle,Leaves,Scaevola taccada,-1.87,rats,rats,NA,244
2015,Chagos,Eagle,Leaves,Scaevola taccada,-2.09,rats,rats,NA,244
2015,Chagos,Eagle,Leaves,Scaevola taccada,-2.52,rats,rats,NA,244
2015,Chagos,Eagle,Leaves,Scaevola taccada,-2.52,rats,rats,NA,244
2015,Chagos,Eagle,Leaves,Scaevola taccada,-2.84,rats,rats,NA,244
2015,Chagos,Eagle,Leaves,Scaevola taccada,-4.03,rats,rats,NA,244
2015,Chagos,Eagle,Leaves,Scaevola taccada,-2.08,rats,rats,NA,244
2015,Chagos,Eagle,Leaves,Scaevola taccada,-2.93,rats,rats,NA,244
2015,Chagos,Eagle,Leaves,Scaevola taccada,-1.85,rats,rats,NA,244
2015,Chagos,Eagle,Macroalgae,Halimeda,6.11,rats,rats,100,244
2015,Chagos,Eagle,Macroalgae,Halimeda,3.99,rats,rats,100,244
2015,Chagos,Eagle,Macroalgae,Halimeda,4.52,rats,rats,100,244
2015,Chagos,Eagle,Macroalgae,Halimeda,5.14,rats,rats,100,244
2015,Chagos,Eagle,Macroalgae,Halimeda,5.18,rats,rats,100,244
2015,Chagos,Eagle,Macroalgae,Halimeda,4.21,rats,rats,100,244
2015,Chagos,Eagle,Macroalgae,Halimeda,4.83,rats,rats,100,244
2015,Chagos,Eagle,Macroalgae,Halimeda,6.82,rats,rats,100,244
2015,Chagos,Eagle,Macroalgae,Halimeda,4.32,rats,rats,100,244
2015,Chagos,Eagle,Soil,Soil,2.43,rats,rats,NA,244
2015,Chagos,Eagle,Soil,Soil,2,rats,rats,NA,244
2015,Chagos,Eagle,Soil,Soil,2.62,rats,rats,NA,244
2015,Chagos,Eagle,Soil,Soil,2.64,rats,rats,NA,244
2015,Chagos,Eagle,Soil,Soil,2.62,rats,rats,NA,244
2015,Chagos,Eagle,Soil,Soil,2.5,rats,rats,NA,244
