"","Region","Island","rat_status","Family","sum_bio_kg"
"1","Chagos Archipelago","Eagle Island","infested","booby",0.08197
"2","Chagos Archipelago","Eagle Island","infested","frigatebird",0
"3","Chagos Archipelago","Eagle Island","infested","noddy",0.07279
"4","Chagos Archipelago","Eagle Island","infested","shearwater",0
"5","Chagos Archipelago","Eagle Island","infested","tern",0.01639
"6","Chagos Archipelago","Eagle Island","infested","tropicbird",0.00119
"7","Chagos Archipelago","Grande Ile Coquillage","absent","booby",53.57143
"8","Chagos Archipelago","Grande Ile Coquillage","absent","frigatebird",8.32143
"9","Chagos Archipelago","Grande Ile Coquillage","absent","noddy",12.47321
"10","Chagos Archipelago","Grande Ile Coquillage","absent","shearwater",0.06821
"11","Chagos Archipelago","Grande Ile Coquillage","absent","tern",244.74167
"12","Chagos Archipelago","Grande Ile Coquillage","absent","tropicbird",0
"13","Chagos Archipelago","Grande Ile Mapou","infested","booby",1
"14","Chagos Archipelago","Grande Ile Mapou","infested","frigatebird",0
"15","Chagos Archipelago","Grande Ile Mapou","infested","noddy",0.347
"16","Chagos Archipelago","Grande Ile Mapou","infested","shearwater",0
"17","Chagos Archipelago","Grande Ile Mapou","infested","tern",0.1
"18","Chagos Archipelago","Grande Ile Mapou","infested","tropicbird",0
"19","Chagos Archipelago","Ile Anglaise_PB","infested","booby",0
"20","Chagos Archipelago","Ile Anglaise_PB","infested","frigatebird",0
"21","Chagos Archipelago","Ile Anglaise_PB","infested","noddy",0.65667
"22","Chagos Archipelago","Ile Anglaise_PB","infested","shearwater",0
"23","Chagos Archipelago","Ile Anglaise_PB","infested","tern",0.33333
"24","Chagos Archipelago","Ile Anglaise_PB","infested","tropicbird",0
"25","Chagos Archipelago","Ile Anglaise_SAL","infested","booby",0
"26","Chagos Archipelago","Ile Anglaise_SAL","infested","frigatebird",0
"27","Chagos Archipelago","Ile Anglaise_SAL","infested","noddy",0.13
"28","Chagos Archipelago","Ile Anglaise_SAL","infested","shearwater",0
"29","Chagos Archipelago","Ile Anglaise_SAL","infested","tern",0.04034
"30","Chagos Archipelago","Ile Anglaise_SAL","infested","tropicbird",0
"31","Chagos Archipelago","Ile de la Passe","absent","booby",2.42677
"32","Chagos Archipelago","Ile de la Passe","absent","frigatebird",0
"33","Chagos Archipelago","Ile de la Passe","absent","noddy",3.68308
"34","Chagos Archipelago","Ile de la Passe","absent","shearwater",0
"35","Chagos Archipelago","Ile de la Passe","absent","tern",0.19231
"36","Chagos Archipelago","Ile de la Passe","absent","tropicbird",0.02231
"37","Chagos Archipelago","Ile Fouquet","infested","booby",0.85
"38","Chagos Archipelago","Ile Fouquet","infested","frigatebird",0
"39","Chagos Archipelago","Ile Fouquet","infested","noddy",0.24625
"40","Chagos Archipelago","Ile Fouquet","infested","shearwater",0
"41","Chagos Archipelago","Ile Fouquet","infested","tern",0.14285
"42","Chagos Archipelago","Ile Fouquet","infested","tropicbird",0.00725
"43","Chagos Archipelago","Ile Jacobin","eradicated","booby",0
"44","Chagos Archipelago","Ile Jacobin","eradicated","frigatebird",0
"45","Chagos Archipelago","Ile Jacobin","eradicated","noddy",0.985
"46","Chagos Archipelago","Ile Jacobin","eradicated","shearwater",0
"47","Chagos Archipelago","Ile Jacobin","eradicated","tern",0.2
"48","Chagos Archipelago","Ile Jacobin","eradicated","tropicbird",0
"49","Chagos Archipelago","Ile Longue","absent","booby",37.95469
"50","Chagos Archipelago","Ile Longue","absent","frigatebird",0
"51","Chagos Archipelago","Ile Longue","absent","noddy",10.58308
"52","Chagos Archipelago","Ile Longue","absent","shearwater",0
"53","Chagos Archipelago","Ile Longue","absent","tern",332.5
"54","Chagos Archipelago","Ile Longue","absent","tropicbird",0
"55","Chagos Archipelago","Ile Poule","infested","booby",0
"56","Chagos Archipelago","Ile Poule","infested","frigatebird",0
"57","Chagos Archipelago","Ile Poule","infested","noddy",0.02919
"58","Chagos Archipelago","Ile Poule","infested","shearwater",0
"59","Chagos Archipelago","Ile Poule","infested","tern",0.00693
"60","Chagos Archipelago","Ile Poule","infested","tropicbird",0.00269
"61","Chagos Archipelago","Ile Sepulture","infested","booby",0
"62","Chagos Archipelago","Ile Sepulture","infested","frigatebird",0
"63","Chagos Archipelago","Ile Sepulture","infested","noddy",1.182
"64","Chagos Archipelago","Ile Sepulture","infested","shearwater",0
"65","Chagos Archipelago","Ile Sepulture","infested","tern",0.1
"66","Chagos Archipelago","Ile Sepulture","infested","tropicbird",0
"67","Chagos Archipelago","Ile Vache Marine","eradicated","booby",0
